name,lat,lon,height
Creag Mhòr,56.4893747,-4.6146576,1032.0
Beinn Chaluim,56.4546681,-4.6192551,1025.0
Beinn Heasgarnich,56.5102745,-4.5792800,1078.0
Beinn a' Chreachain,56.5603771,-4.6476241,1081.0
Beinn Mhanach,56.5340284,-4.6460457,953.0
Beinn Achaladair,56.5516591,-4.6951314,1038.0
Ben Cruachan,56.4267792,-5.1318182,1126.0
Stob Diamh,56.4313393,-5.0914398,998.0
Stob Binnein,56.3707765,-4.5356275,1165.0
Meall a' Bhùiridh,56.6122677,-4.8521185,1108.0
Creise,56.6145149,-4.8719012,1100.0
Stob a' Choire Odhair,56.5732856,-4.8382091,945.0
Stob Ghabhar,56.5681385,-4.8821085,1090.0
Meall nan Eun,56.5611515,-4.9429570,928.0
Stob Coir'an Albannaich,56.5548754,-4.9798427,1044.0
Glas Bheinn Mhòr,56.5424190,-5.0053123,997.0
Beinn nan Aighenan,56.5201660,-5.0111417,960.0
Sgùrr a' Mhaoraich,57.1055800,-5.3303647,1027.0
Gairich,57.0448657,-5.2558304,919.0
Sgurr Fiona,57.8007718,-5.2594507,1060.0
Bidein a' Ghlas Thuill,57.8071584,-5.2517207,1062.0
Sgùrr Bàn,57.7185382,-5.2659286,989.0
Beinn Tarsuinn,57.7019723,-5.2916583,937.0
Ruadh-stac Mòr,57.7268390,-5.3293051,918.0
A' Mhaighdean,57.7196694,-5.3467690,967.0
Ben Hope,58.4131317,-4.6079325,927.0
Ben Klibreck,58.2351515,-4.4112041,962.0
Conival,58.1357480,-4.8833140,987.0
Ben More Assynt,58.1381075,-4.8582516,998.0
Drochard Ghlas,56.4301459,-5.1098641,1009.0
Stob Garbh,56.4254599,-5.0898090,980.0
Meall Cuanail,56.4187496,-5.1308831,918.0
Stob Dearg,56.4285214,-5.1438394,1104.0
Eididh nan Clach Geala,57.8145200,-4.9354762,927.0
Meall nan Ceapraichean,57.7985391,-4.9340758,977.0
Beinn Dearg,57.7863890,-4.9297686,1084.0
Seana Bhràigh,57.8473966,-4.8967898,927.0
Cona' Mheall,57.7911105,-4.9034210,978.0
Am Faochagach,57.7717981,-4.8538839,953.0
Mullach Coire Mhic Fhearchair,57.7090252,-5.2713050,1018.0
Slioch,57.6670397,-5.3472667,981.0
Ruadh-stac Mòr,57.5937429,-5.4294363,1010.0
Spidean Coire nan Clach,57.5821600,-5.4036409,993.0
Unnamed,56.2724330,-4.7538526,941.0
Fionn Bheinn,57.6111350,-5.1027016,933.0
Sgùrr Mòr,57.5908139,-5.5728028,986.0
Tom na Gruagaich,57.5805250,-5.5819472,922.0
Sgorr Ruadh,57.4986653,-5.4078179,962.0
Beinn Liath Mhòr,57.5120656,-5.4006515,926.0
Maol Chean-dearg,57.4918824,-5.4655696,933.0
An Coileachan,57.6675373,-4.9493718,923.0
Meall Gorm,57.6808510,-4.9837740,949.0
Sgùrr Mòr,57.7001002,-5.0168076,1110.0
Beinn Liath Mhor Fannaich,57.7060370,-4.9897250,954.0
Sgùrr nan Each,57.6810145,-5.0463399,923.0
Sgùrr nan Clach Geala,57.6963241,-5.0482628,1093.0
Meall a' Chrasgaidh,57.7128170,-5.0486740,934.0
Sgùrr Breac,57.6921190,-5.0916120,999.0
A' Chailleach,57.6938037,-5.1286657,997.0
Ben Wyvis - Glas Leathad Mòr,57.6789840,-4.5792334,1046.0
An Cabar,57.6624033,-4.5987200,946.0
An t-Socach,57.6774727,-4.5662804,1006.0
Tom a' Chòinnich,57.6935882,-4.5794520,953.0
