name,lat,lon,height
Stob Coire na Ceannain,56.8303463,-4.8406562,1123.0
Stob Coire Gaibhre,56.8402326,-4.8525706,958.0
Stob Coire Cath na Sine,56.8159886,-4.8647796,1079.0
Caisteal,56.8146856,-4.8742868,1106.0
Beinn na Socaich,56.8193356,-4.8913986,1007.0
Sgurr an Lochan Uaine,57.0726913,-3.6089653,983.0
Sron A'Cha No,57.1342228,-3.6266880,1028.0
Meall nam Bradan Leathan,57.7044504,-4.5246087,920.0
Beinn Fhada NE Top,56.6445508,-4.9955568,931.0
Beinn Fhada,56.6420357,-5.0027683,952.0
Sron a' Choire,56.9552714,-4.5526950,1001.0
Puist Coire Ardair,56.9502300,-4.5713818,1070.0
Sgurr a' Dubh Doire,57.2153301,-5.2561440,962.0
Sgurr Dearg,57.2131832,-6.2352336,978.0
Meall Odhar,56.8799102,-3.3872293,922.0
